WellNumber,TotalDepth,ScreenBot,ScreenTop,SandTop,GroutType,GroutDate,SWL,EASTING,NORTHNG
MW-02,45,43,33,31,Chips,9/11/2012,32.6,641679,4241739
MW-03,39,38,28,26,Chips,9/10/2012,26,641317.832,4241409.036
MW-05,65,64,54,52,Chips,9/13/2012,32.3,641998.129,4241421.346
MW-07,35,32.5,30,28,Chips,9/13/2012,35.1,640681.656,4240899.7
MW-09 ,55,53,48,46,Chips,9/10/2012,32.3,641521.889,4240900.048
MW-11,62 (chips to 38'),38,30,30,Chips,9/26/2013,30.5,642641.360,4240901.674
MW-13,31,29,14,13.3,Chips,9/27/2013,27.5,641328.213,4240474.367
MW-14,65 (chips to 40'),39.5,37,36,Chips,9/30/2013,29.7,641799.351,4240498.517
MW-17,40,39.5,29.5,30,Chips,9/27/2013,26.3,641511.847,4239976.464
MW-19,60,59.5,54.5,52,Chips,9/11/2012,27.2,641717.625,4239976.781
MW-20,67.75,67.75,55,54,Chips,9/30/2013,24.7,642160.105,4239980.561
MW-22,45,43,38,36,Chips,9/6/2012,22.7,640680.182,4239418.883
MW-23,25,25,20,17,Chips,9/12/2012,27.7,641517.606,4239418.338
