Sample ID,Site,Soil_depth_cm,Nucleic_Acid_ng/ul,A260_Abs,A280_Abs,260/280,260/230,Sample_weight_mg
1A,A1,0-30,8.9,0.178,0.099,1.8,1.58,248.00
1B,A1,0-30,10.2,0.204,0.113,1.8,0.73,251.48
2A,A1,30-60,6,0.121,0.068,1.77,0.7,251.06
2B,A1,30-60,7.3,0.146,0.086,1.7,1.18,249.97
3,A1,60-80,5.8,,,,,248.73
4,A1,80-100,5.5,,,,,252.53
5,A1,100-130,7.8,0.156,0.094,1.67,1.25,250.95
6,A1,130-160,4.0,0.081,0.041,1.96,1.25,250.54
7,A1,160-199,16.1,0.321,0.2,1.61,0.75,251.25
8,A1,200-230,-0.3,,,,,253.48
9,A1,230-260,-0.5,,,,,252.41
10,A1,260-299,-0.3,,,,,255.16
322,C2,0-30,10.3,0.206,0.116,1.78,1.41,249.77
323,C2,30-60,7.6,0.152,0.093,1.64,1.08,252.20
324,C2,60-80,5.2,0.104,0.062,1.68,1.3,249.85
325,C2,80-100,7,0.141,0.076,1.85,0.93,249.87
326,C2,100-105,6.8,0.136,0.079,1.72,1.27,249.77
327,C2,105-110,6.1,0.122,0.073,1.67,1.36,250.59
328,C2,110-115,5.6,0.112,0.067,1.66,1.01,249.95
329,C2,115-120,2.5,0.051,0.032,1.57,1.05,249.64
330,C2,120-125,2,0.04,0.025,1.6,0.53,250.69
331,C2,125-130,1.8,0.036,0.016,2.26,0.59,249.41
332,C2,130-135,0.4,0.009,0.002,4.77,0.14,249.44
333,C2,135-140,1.1,0.022,0.007,3.1,0.95,250.76
334,C2,140-145,1.1,0.021,0.009,2.27,0.91,251.07
335,C2,145-150,1.0,0.019,0.003,6.07,0.4,251.40
336,C2,150-160,0.8,0.016,-0.002,-6.63,0.7,252.51
337,C2,160-170,0.4,0.007,-0.008,-0.88,0.76,250.45
338,C2,170-180,0.4,0.008,0.003,2.74,0.59,253.10
339,C2,180-190,0.7,0.014,0.007,2.06,0.91,250.47
340,C2,190-200,3.4,0.068,0.049,1.38,0.64,251.1
341,C2,200-230,2.2,0.044,0.027,1.6,0.6,252.4
342,C2,230-260,1.9,0.039,0.023,1.65,0.73,252.24
343,C2,260-270,2.0,0.041,0.027,1.49,0.74,249.2
344,C2,270-280,1.4,0.027,0.017,1.65,0.41,250.91
345,C2,280-290,1.0,0.021,0.022,0.94,0.41,252.01
346,C2,290-300,0.8,0.017,0.008,2.01,0.16,250.36
347,C2,300-310,2.5,0.05,0.033,1.5,0.6,251.58
348,C2,310-320,1.0,0.02,0.021,0.92,0.23,250.75
349,C2,320-330,3.7,0.073,0.044,1.65,0.6,251.19
350,C2,330-340,1.5,0.03,0.008,3.66,0.77,248.38
351,C2,340-350,0.5,0.01,-0.001,-10.96,0.4,251.73
352,C2,350-360,1.3,0.026,0.012,2.21,0.54,251.25
353,C2,360-380,3.5,0.071,0.04,1.79,0.56,251.26
354,C2,380-400,0.3,0.005,-0.004,-1.42,0.17,252.30
355,C2,400-450,1.1,0.022,0.002,10.42,0.44,249.49
356,C2,450-500,0.5,0.009,-0.009,-1.05,0.43,248.74
357,C2,500-550,6.5,0.13,0.068,1.91,0.56,252.26
358,C2,550-600,0.7,0.014,-0.001,-20.39,1.14,250.32
359,C2,600-650,0.7,0.014,-0.003,-4.61,0.38,252.26
360,C2,650-700,0.6,0.012,-0.003,-4,0.28,252.07
101,A8,0-30,33.9,0.678,0.4,1.7,0.75,249.03
102,A8,30-60,23.9,0.478,0.284,1.68,0.61,251.15
103,A8,60-99,22.9,0.459,0.28,1.64,0.56,249.52
104,A8,100-130,19.2,0.385,0.236,1.63,0.5,249.66
105,A8,130-160,15.9,0.318,0.204,1.56,0.46,250.80
106,A8,160-199,16.0,0.32,0.202,1.59,0.46,251.77
110A,B1,0-30,,,,,,249.05
110B,B1,0-30,,,,,,249.14
111A,B1,30-60,,,,,,250.53
111B,B1,30-60,,,,,,250.57
112,B1,60-99,,,,,,249.25
113,B1,100-130,,,,,,250.07
114,B1,130-160,,,,,,247.28
115,B1,160-199,,,,,,250.92
116,B1,200-230,,,,,,250.97
117,B1,230-260,,,,,,246.57
118,B1,260-299,2.8,,,,,248.94
201,B7,0-30,11.8,,,,,252.41
202,B7,30-60,8.8,,,,,249.24
203,B7,60-99,4.2,,,,,250.77
204,B7,100-130,12.2,0.245,0.137,1.79,1.32,250.24
205,B7,130-160,66.4,1.328,0.899,1.48,0.91,250.42
206,B7,160-199,34.9,0.698,0.455,1.53,0.94,250.22
207,B7,200-230,-0.7,,,,,251.60
208,B7,230-260,0.9,,,,,250.57
209,B7,260-299,-0.3,,,,,252.31
335,C2,145-150,29.6,0.591,0.393,1.5,0.93,250.13
337,C2,160-170,17.8,0.355,0.226,1.57,0.91,250.22
340,C2,190-200,4.9,0.097,0.054,1.78,1.2,251.55
346,C2,290-300,2.4,0.049,0.031,1.58,1.25,250.98
354,C2,380-400,2.6,0.053,0.034,1.53,0.9,250.10
448,D8,0-30,32.8,0.657,0.358,1.83,1.66,250.15
449,D8,30-60,16.3,0.326,0.179,1.82,1.12,251.38
450,D8,60-99,12.6,0.251,0.139,1.81,1.88,250.65
451,D8,100-130,15.0,0.3,0.17,1.77,1.39,249.28
452,D8,130-160,4.2,0.084,0.05,1.67,0.69,251.18
453,D8,160-199,5.0,0.099,0.065,1.53,0.86,249.65
