Sampling site,Northing,Easting,Elevation
A1,4240004.268,641116.48,5.07
A2,4240004.147,641115.602,5.084
A3,4240004.161,641114.591,5.086
A4,4240004.001,641113.693,5.101
A5,4240004.021,641112.687,5.056
A6,4240004.295,641107.647,5.109
A7,4240002.519,641092.558,5.076
A8,4239998.414,641067.949,5.005
B1,4240004.685,641118.639,5.068
B2,4240004.83,641119.605,5.062
B3,4240004.683,641120.718,5.05
B4,4240004.503,641121.941,5.051
B5,4240004.349,641123.158,5.019
B6,4240003.86,641127.519,5.046
B7,4240004.923,641142.352,5.088
C1,4240005.614,641117.368,5.06
C2,4240006.577,641117.259,5.102
C3,4240007.461,641117.003,5.095
C4,4240008.294,641116.792,5.122
C5,4240009.576,641116.517,5.089
C6,4240013.42,641115.636,5.055
C7,4240029.153,641112.564,5.093
C8,4240053.403,641107.219,5.062
D1,4240003.636,641117.868,5.082
D2,4240002.671,641118.198,5.069
D3,4240001.827,641118.39,5.048
D4,4240000.777,641118.584,5.095
D5,4239999.822,641118.882,5.098
D6,4239994.701,641120.083,5.096
D7,4239980.185,641123.66,5.047
D8,4239956.04,641129.337,5.058
