Depth,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,C1,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
33,-23.5161,-23.7460,-23.7601,-23.8252,-24.1762,-23.7699,-23.7618136,-22.49182253,-23.55617736,-23.63827949,-24.2822874,-23.59867777,-24.04711961,-23.29242509,-23.729614,-23.26,-24.17,-23.35,-23.48,-23.67,-23.49,-24.70,-23.91,-23.71,-23.27,-23.55,-23.28,-23.51,-23.45,-23.62
66,-24.4207,-24.1773,-24.2350,-24.2466,-24.4343,-24.4843,-24.14,-23.63809749,-24.64613896,-24.44275622,-24.40762012,-24.53698331,-24.70349887,-24.08524207,-24.25025263,-24.15,-23.83,-24.21,-24.47,-24.62,-24.21,-24.64,-24.35,-24.26,-24.46,-24.54,-23.78,-24.16,-24.39,-24.27
99,-25.1906,-25.5353,-25.4239,-25.4460,-25.5487,-25.4706,-25.27568571,-26.00164557,-25.86037356,-25.72275494,-25.10768277,-25.64760426,-25.23419196,-25.10718037,-25.2032752,-25.32,-25.38,-25.36,-25.53,-25.10,-25.51,-25.40,-25.44,-25.43,-25.83,-25.39,-24.93,-25.56,-25.88,-25.41
133,-26.0687,-26.2246,-26.1981,-26.1760,-26.2975,-26.2108,-26.1562039,-26.16629604,-26.20436554,-26.21810412,-26.15565902,-26.25451082,-25.99070919,-25.97527116,-26.21712419,-26.07,-26.19,-25.92,-26.19,-26.05,-26.06,-25.97,-26.12,-25.95,-26.08,-26.13,-26.01,-26.18,-26.24,-26.12
166,-25.6839,-25.8717,-26.1284,-25.8617,-26.3429,-26.2961,-25.6875114,-25.59174216,-25.85941023,-25.91293311,-25.92886256,-25.94695648,-25.59315877,-25.86614588,-25.95312713,-26.01,-26.04,-25.69,-25.96,-25.80,-25.97,-25.99,-25.87,-25.77,-25.75,-25.92,-25.95,-25.69,-25.87,-25.98
199,-25.3571,-26.1839,-25.8740,-25.7136,-25.8779,-26.0550,-25.80419,-25.50833119,-25.6888957,-25.79801975,-25.90809424,-25.77404394,-25.62369218,-25.80153875,-26.01619729,-26.01,-25.87,-25.68,-25.81,-25.66,-25.70,-25.85,-25.89,-25.79,-25.90,-25.84,-25.89,-25.69,-25.78,-25.93
233,-25.5175,-25.7903,-25.5780,-25.5320,-25.6771,-25.7990,-25.70720832,-25.65423099,-25.52375463,-25.53185804,-25.57338144,-25.56586398,-25.65792864,-25.31942761,-25.64936315,-25.71,-25.76,-25.45,-25.52,-25.52,-25.47,-25.65,-25.78,-25.80,-25.70,-25.61,-25.73,-25.55,-25.64,-25.70
266,-25.4471,-25.4463,-25.4182,-25.4645,-25.7710,-25.9630,-25.65838829,-25.63355233,-25.42698892,-25.59285158,-25.45005139,-25.43733522,-25.33804267,-25.46171295,-25.46672941,-25.59,-25.65,-25.46,-25.38,-25.53,-25.41,-25.50,-25.58,-25.54,-25.53,-25.51,-25.47,-25.53,-25.59,-25.63
299,-25.2633,-25.3658,-25.1865,-25.4992,-25.7111,-25.7317,-25.42526858,-25.52388569,-25.39465531,-25.3900794,-25.42002293,-25.45731056,-25.4829639,-25.31575656,-25.40572419,-25.51,-25.48,-25.22,-25.45,-25.34,-25.26,-25.35,-25.48,-25.46,-25.44,-25.35,-25.48,-25.43,-25.52,-25.63
333,,-25.0800,,-25.5023,,-25.9164,,,,-25.37773052,,-25.4085179,,-25.42468673,,,,-25.33,,,,,,-25.44,,-25.37,,,,
366,,-25.3971,,-25.5568,,-25.6242,,,,-25.38989979,,-25.48916432,,-25.38822337,,,,-25.36,,,,,,-25.53,,-25.43,,,,
399,,-25.1541,,-25.6625,,-25.7476,,,,-25.35919348,,-25.35198935,,-25.40589626,,,,-25.34,,,,,,-25.49,,-25.42,,,,
433,,-24.9514,,-25.6577,,-25.5466,,,,-25.2957,,-25.3339115,,-25.44781206,,,,-25.26,,,,,,-25.49,,-25.47,,,,
466,,-25.1363,,-25.8424,,-25.7111,,,,-25.0006882,,-25.38132638,,-25.41094636,,,,-25.30,,,,,,-25.64,,-25.47,,,,
499,,-25.2593,,-25.9360,,-25.4691,,,,-25.55935129,,-25.28891181,,-25.53985226,,,,-25.37,,,,,,-25.48,,-25.52,,,,
533,,-25.3689,,-25.8155,,-25.3288,,,,-25.34650546,,-25.3806346,,-25.23790649,,,,-25.15,,,,,,-25.39,,-25.40,,,,
566,,-25.4318,,-25.7969,,-25.0125,,,,-25.34728257,,-25.2513916,,-25.4329962,,,,-24.94,,,,,,-25.25,,-25.31,,,,
599,,-25.3218,,-25.7485,,-25.5947,,,,-25.30871484,,-25.18430056,,-25.1755777,,,,-24.46,,,,,,-25.00,,-25.37,,,,
633,,,,-25.4252,,-25.1839,,,,-25.22516836,,-24.78602918,,-25.02606553,,,,-25.42,,,,,,-25.02,,-25.03,,,,
666,,,,-25.2952,,-25.3888,,,,-25.07918143,,-24.79885486,,-25.15017692,,,,-25.25,,,,,,-25.10,,-25.11,,,,
699,,,,-25.2158,,-24.8018,,,,-24.49472406,,-24.20110375,,-24.98968273,,,,-25.16,,,,,,-24.14,,-24.36,,,,
